DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2022,147.59,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2023,152.17,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2024,142.25,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2025,139.11,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2016,100.34,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2017,110.95,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2018,120.10,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2019,120.22,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2020,124.92,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2021,140.51,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2022,151.07,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2023,160.99,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2024,179.17,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovenia,2025,173.32,p,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2016,105.88,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2017,112.92,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2018,119.69,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2019,126.82,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2020,136.77,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2021,143.46,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2022,166.74,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2023,162.67,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2024,166.28,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Slovakia,2025,184.24,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2016,111.78,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2017,123.75,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2018,134.86,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2019,143.84,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2020,181.47,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2021,257.40,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2022,645.94,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2023,1299.55,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Türkiye,2024,1842.80,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",United Kingdom,2016,109.35,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",United Kingdom,2017,114.94,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",United Kingdom,2018,119.81,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",United Kingdom,2019,120.78,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,Annual average rate of change,Austria,2016,7.9,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,Annual average rate of change,Austria,2017,2.4,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,Annual average rate of change,Austria,2018,5.0,,
